polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 11*x^4 + 5*x^3 + 20*x^2 + 9*x + 1,31,465/2,1395/2,868,465/2,-465/2,217/2,31/2,0,C(5),23088025
x^5 - 10*x^4 - 15*x^3 - 3*x^2 + 3*x + 1,33/2,99,231,275,495/2,495/2,275/2,11/2,0,C(5),14641
x^5 - 10*x^4 + 18*x^3 - 3*x^2 - 8*x + 1,143/2,-99,759/2,-693,561,-495/2,55,11/2,0,C(5),7745089
x^5 - 10*x^4 + 25*x^3 - 5*x^2 - 5*x + 1,75/2,-150,375,-625,1875/2,-675/2,75/2,25/2,0,C(5),19140625
x^5 - 8*x^4 - 25*x^3 + 18*x^2 + 12*x + 1,99,1023/2,1056,-253,1947/2,165,253/2,11/2,0,C(5),14320669561
x^5 - 8*x^4 - 3*x^3 + 18*x^2 - 10*x + 1,55,-495/2,561,-693,759/2,-99,143/2,11/2,0,C(5),7745089
x^5 - 8*x^4 + 19*x^3 - 15*x^2 + x + 1,77/2,-165,429,-539,693/2,-231/2,33/2,11/2,0,C(5),14641
x^5 - 7*x^4 - 9*x^3 + 17*x^2 + 20*x + 1,715/2,1155/2,1617/2,649,0,-33,143/2,11/2,1,C(5),27071209
x^5 - 7*x^4 + 2*x^3 + 17*x^2 + 9*x + 1,77/2,429/2,1023/2,484,99/2,-297/2,44,11/2,0,C(5),7745089
x^5 - 7*x^4 + 13*x^3 - 5*x^2 - 2*x + 1,33/2,-165/2,363/2,-253,231,-99,33/2,11/2,0,C(5),14641
x^5 - 6*x^4 - 23*x^3 - x^2 + 5*x + 1,55/2,165,264,231,1419/2,429/2,187/2,11/2,0,C(5),27071209
x^5 - 6*x^4 - x^3 + 10*x^2 - 6*x + 1,11,-165/2,231,-297,363/2,-66,77/2,11/2,0,C(5),14641
x^5 - 6*x^4 + 10*x^3 - x^2 - 6*x + 1,77/2,-66,363/2,-297,231,-165/2,11,11/2,0,C(5),14641
x^5 - 5*x^4 - 5*x^3 + 25*x^2 - 10*x + 1,75/2,-675/2,1875/2,-625,375,-150,75/2,25/2,0,C(5),19140625
x^5 - 2*x^4 - 5*x^3 + 2*x^2 + 4*x + 1,11,99/2,66,11,-33/2,0,33/2,11/2,1,C(5),14641
x^5 - 2*x^4 - 5*x^3 + 13*x^2 - 7*x + 1,33/2,-99,231,-253,363/2,-165/2,33/2,11/2,0,C(5),14641
x^5 - 10*x^3 + 5*x^2 + 10*x + 1,175/2,150,375/2,-125,0,-75/2,25,25/2,1,C(5),19140625
x^5 + x^4 - 15*x^3 - 14*x^2 + 3*x + 1,44,99/2,693/2,374,627/2,165/2,77/2,11/2,0,C(5),214358881
x^5 + x^4 - 15*x^3 + 19*x^2 - 8*x + 1,33/2,-231/2,693/2,-539,429,-165,77/2,11/2,0,C(5),14641
x^5 + x^4 - 4*x^3 - 3*x^2 + 3*x + 1,33/2,33/2,33/2,-22,-33/2,33/2,11,11/2,0,C(5),14641
x^5 + 3*x^4 - 14*x^3 - 15*x^2 + x + 1,77/2,165/2,627/2,374,693/2,99/2,44,11/2,0,C(5),214358881
x^5 + 3*x^4 - 3*x^3 - 15*x^2 - 10*x + 1,275/2,495/2,495/2,275,231,99,33/2,11/2,0,C(5),14641
x^5 + 3*x^4 - 3*x^3 - 4*x^2 + x + 1,11,33/2,-33/2,-22,33/2,33/2,33/2,11/2,0,C(5),14641
x^5 + 4*x^4 - 9*x^3 - 5*x^2 + 9*x + 1,187/2,0,99,-187,33/2,-33/2,77/2,11/2,1,C(5),7745089
x^5 + 4*x^4 + 2*x^3 - 5*x^2 - 2*x + 1,33/2,0,-33/2,11,66,99/2,11,11/2,1,C(5),14641
x^5 + 5*x^4 - 23*x^3 - 23*x^2 + 16*x + 1,627/2,-759/2,2541/2,473,726,0,165/2,11/2,1,C(5),61348849969
x^5 + 5*x^4 - 12*x^3 - x^2 + 5*x + 1,55/2,165/2,33/2,-176,297/2,-165/2,55,11/2,0,C(5),7745089
x^5 + 5*x^4 - x^3 - 23*x^2 - 6*x + 1,187/2,429/2,1419/2,231,264,165,55/2,11/2,0,C(5),27071209
x^5 + 5*x^4 - x^3 - 12*x^2 + 5*x + 1,55,-165/2,297/2,-176,33/2,165/2,55/2,11/2,0,C(5),7745089
x^5 + 9*x^4 - 5*x^3 - 9*x^2 + 4*x + 1,77/2,-33/2,33/2,-187,99,0,187/2,11/2,1,C(5),7745089
x^5 + 9*x^4 + 17*x^3 + 2*x^2 - 7*x + 1,44,-297/2,99/2,484,1023/2,429/2,77/2,11/2,0,C(5),7745089
x^5 + 9*x^4 + 20*x^3 + 5*x^2 - 11*x + 1,217/2,-465/2,465/2,868,1395/2,465/2,31,31/2,0,C(5),23088025
x^5 + 10*x^4 + 5*x^3 - 10*x^2 + 1,25,-75/2,0,-125,375/2,150,175/2,25/2,1,C(5),19140625
x^5 + 12*x^4 + 18*x^3 - 25*x^2 - 8*x + 1,253/2,165,1947/2,-253,1056,1023/2,99,11/2,0,C(5),14320669561
x^5 + 16*x^4 - 23*x^3 - 23*x^2 + 5*x + 1,165/2,0,726,473,2541/2,-759/2,627/2,11/2,1,C(5),61348849969
x^5 + 20*x^4 + 17*x^3 - 9*x^2 - 7*x + 1,143/2,-33,0,649,1617/2,1155/2,715/2,11/2,1,C(5),27071209
